id,name,runId,status,timeZone,exportFormat,interval,downloadUrl,viewType,period,filter,read,createdDateTime,modifiedDateTime,locale,percentageComplete,hasFormatDurations,hasSplitFilters,excludeEmptyRows,hasSplitByMedia,hasSummaryRow,csvDelimiter,hasCustomParticipantAttributes,dateLastConfirmed,intervalKeyType,enabled,selfUri
db891975-862d-4ada-bc91-d2d067cfff55,SAMPLE-AGENT_INTERACTION_DETAIL_VIEW,938c6b6b-1ea2-438f-8edc-abe1b0b41429,COMPLETED,GMT,CSV,2022-06-12T00:00:00.000Z/2022-07-07T00:00:00.000Z,https://apps.mypurecloud.jp/platform/api/v2/downloads/2feb2b1244930d42,INTERACTION_SEARCH_VIEW,PT30M,mediaTypes: voice,false,2022-07-08T08:17:57Z,2022-07-08T08:17:59Z,en-us,1,true,false,true,true,false,COMMA,true,2022-07-08T08:17:57Z,ConversationStart,false,/api/v2/analytics/reporting/exports/db891975-862d-4ada-bc91-d2d067cfff55
3539a1e5-6ef4-4e41-ac54-1125ba9a943d,SAMPLE-AGENT_INTERACTION_DETAIL_VIEW,df5ae93e-ceac-42cd-af92-3b3fc9411e1a,COMPLETED,GMT,CSV,2022-06-12T00:00:00.000Z/2022-07-07T00:00:00.000Z,https://apps.mypurecloud.jp/platform/api/v2/downloads/dfbf8c524cc50d5c,INTERACTION_SEARCH_VIEW,PT30M,mediaTypes: voice,false,2022-07-08T08:16:33Z,2022-07-08T08:16:34Z,en-us,1,true,false,true,true,false,COMMA,true,2022-07-08T08:16:33Z,ConversationStart,false,/api/v2/analytics/reporting/exports/3539a1e5-6ef4-4e41-ac54-1125ba9a943d
13a969f8-b794-4b9c-b330-04993424152f,SAMPLE-AGENT_INTERACTION_DETAIL_VIEW,3c57ea9d-e0cd-4824-8a03-fcaffccea467,COMPLETED,GMT,CSV,2022-06-12T00:00:00.000Z/2022-07-07T00:00:00.000Z,https://apps.mypurecloud.jp/platform/api/v2/downloads/d2488ce757cb9030,INTERACTION_SEARCH_VIEW,PT30M,mediaTypes: voice,false,2022-07-08T08:10:02Z,2022-07-08T08:10:04Z,en-us,1,true,false,true,true,false,COMMA,true,2022-07-08T08:10:02Z,ConversationStart,false,/api/v2/analytics/reporting/exports/13a969f8-b794-4b9c-b330-04993424152f
b6435739-f12a-4f69-911e-5a3384b302d4,SAMPLE-AGENT_INTERACTION_DETAIL_VIEW,91018aa9-3074-4240-af95-2cb357f64a76,COMPLETED,GMT,CSV,2022-06-12T00:00:00.000Z/2022-07-07T00:00:00.000Z,https://apps.mypurecloud.jp/platform/api/v2/downloads/08a7af30212a4129,INTERACTION_SEARCH_VIEW,PT30M,mediaTypes: voice,false,2022-07-08T08:00:20Z,2022-07-08T08:00:22Z,en-us,1,true,false,true,true,false,COMMA,true,2022-07-08T08:00:20Z,ConversationStart,false,/api/v2/analytics/reporting/exports/b6435739-f12a-4f69-911e-5a3384b302d4
b45e1c81-8e1a-4221-ad33-b6e4facf16f2,SAMPLE-AGENT_INTERACTION_DETAIL_VIEW,44f635ad-bf55-4124-a7d1-f74e703f3943,COMPLETED,GMT,CSV,2022-06-12T00:00:00.000Z/2022-07-07T00:00:00.000Z,https://apps.mypurecloud.jp/platform/api/v2/downloads/074b6da73083de80,INTERACTION_SEARCH_VIEW,PT30M,mediaTypes: voice,false,2022-07-08T07:59:17Z,2022-07-08T07:59:19Z,en-us,1,true,false,true,true,false,COMMA,true,2022-07-08T07:59:17Z,ConversationStart,false,/api/v2/analytics/reporting/exports/b45e1c81-8e1a-4221-ad33-b6e4facf16f2
9f40e6e8-ef39-454f-bbc2-e9cad5e60f95,SAMPLE-AGENT_INTERACTION_DETAIL_VIEW,01ae08b0-b7fa-4842-9369-4bd65ccfd2f9,COMPLETED,GMT,CSV,2022-06-12T00:00:00.000Z/2022-07-07T00:00:00.000Z,https://apps.mypurecloud.jp/platform/api/v2/downloads/5c40a91015df3123,INTERACTION_SEARCH_VIEW,PT30M,mediaTypes: voice,false,2022-07-08T07:58:50Z,2022-07-08T07:58:52Z,en-us,1,true,false,true,true,false,COMMA,true,2022-07-08T07:58:50Z,ConversationStart,false,/api/v2/analytics/reporting/exports/9f40e6e8-ef39-454f-bbc2-e9cad5e60f95
2c890f57-8b12-4e3d-a231-7260f2a39f84,SAMPLE-AGENT_INTERACTION_DETAIL_VIEW,61eea81d-e24b-4e73-9afa-c09a305235ca,COMPLETED,GMT,CSV,2022-06-12T00:00:00.000Z/2022-07-07T00:00:00.000Z,https://apps.mypurecloud.jp/platform/api/v2/downloads/689d336039ef516a,INTERACTION_SEARCH_VIEW,PT30M,mediaTypes: voice,false,2022-07-08T07:58:21Z,2022-07-08T07:58:22Z,en-us,1,true,false,true,true,false,COMMA,true,2022-07-08T07:58:21Z,ConversationStart,false,/api/v2/analytics/reporting/exports/2c890f57-8b12-4e3d-a231-7260f2a39f84
cfaa01f9-0206-462c-8327-0bd6b7d90e34,SAMPLE-AGENT_INTERACTION_DETAIL_VIEW,a81c4be5-838e-4a10-923c-2aa302934e7f,COMPLETED,GMT,CSV,2022-06-12T00:00:00.000Z/2022-07-07T00:00:00.000Z,https://apps.mypurecloud.jp/platform/api/v2/downloads/40ab0d026fe6cfc3,INTERACTION_SEARCH_VIEW,PT30M,mediaTypes: voice,false,2022-07-08T07:57:43Z,2022-07-08T07:57:45Z,en-us,1,true,false,true,true,false,COMMA,true,2022-07-08T07:57:43Z,ConversationStart,false,/api/v2/analytics/reporting/exports/cfaa01f9-0206-462c-8327-0bd6b7d90e34
b884523d-b93d-4c57-8e64-b2c72d9c6b36,SAMPLE-AGENT_INTERACTION_DETAIL_VIEW,cae01dc4-43fe-4f6f-af91-ee89bad42d87,COMPLETED,GMT,CSV,2022-06-12T00:00:00.000Z/2022-07-07T00:00:00.000Z,https://apps.mypurecloud.jp/platform/api/v2/downloads/d7433bfe2e82cf18,INTERACTION_SEARCH_VIEW,PT30M,mediaTypes: voice,false,2022-07-08T07:57:06Z,2022-07-08T07:57:08Z,en-us,1,true,false,true,true,false,COMMA,true,2022-07-08T07:57:06Z,ConversationStart,false,/api/v2/analytics/reporting/exports/b884523d-b93d-4c57-8e64-b2c72d9c6b36
3399c6b9-ea51-4ea5-bff9-b5cc278a01fa,SAMPLE-AGENT_INTERACTION_DETAIL_VIEW,fc4fb2ef-4203-485a-b8f2-c11036bccdd6,COMPLETED,GMT,CSV,2022-06-12T00:00:00.000Z/2022-07-07T00:00:00.000Z,https://apps.mypurecloud.jp/platform/api/v2/downloads/4ae3cacd3ee21361,INTERACTION_SEARCH_VIEW,PT30M,mediaTypes: voice,false,2022-07-08T07:56:06Z,2022-07-08T07:56:08Z,en-us,1,true,false,true,true,false,COMMA,true,2022-07-08T07:56:06Z,ConversationStart,false,/api/v2/analytics/reporting/exports/3399c6b9-ea51-4ea5-bff9-b5cc278a01fa
