"services.name","services.entities.name","services.entities.actions"
,"PhoneBase","Create"
,,"Update"
,,"Delete"
,"Line","Create"
,,"Update"
,,"Delete"
,"LineBase","Create"
,,"Update"
,,"Delete"
,"OutboundRoute","Create"
,,"Update"
,,"Delete"
,"NumberPlan","Create"
,,"Update"
,,"Delete"
,"Site","Create"
,,"Update"
,,"Delete"
"Outbound","AttemptLimits","Create"
,,"Update"
,,"Delete"
,"CallableTimeSet","Create"
,,"Update"
,,"Delete"
,"Campaign","Create"
,,"Update"
,,"Delete"
,,"Recycle"
,"CampaignRule","Create"
,,"Update"
,,"Delete"
,"CampaignSchedule","Create"
,,"Update"
,,"Delete"
,"Sequence","Create"
,,"Update"
,,"Delete"
,"SequenceSchedule","Create"
,,"Update"
,,"Delete"
,"ContactList","Create"
,,"Update"
,,"Delete"
,,"Export"
,,"Append"
,"ContactListFilter","Create"
,,"Update"
,,"Delete"
,"DNCList","Create"
,,"Update"
,,"Delete"
,,"Export"
,,"Append"
,"OrganizationSettings","Create"
,,"Update"
,,"Delete"
,"CallAnalysisResponseSet","Create"
,,"Update"
,,"Delete"
,"RuleSet","Create"
,,"Update"
,,"Delete"
,"WrapUpCodeMapping","Create"
,,"Update"
,,"Delete"
,"MessagingCampaign","Create"
,,"Update"
,,"Delete"
,,"Recycle"
"Routing","Predictor","Create"
,,"Update"
,,"Delete"
"Gamification","Metric","Create"
,,"Update"
,,"Delete"
,"Status","Update"
,"Profile","Activate"
,,"Create"
,,"Update"
,"ProfileMembers","Assign"
,,"Unassign"
"Integrations","Action","Create"
,,"Update"
,,"Delete"
,"ActionDraft","Create"
,,"Update"
,,"Delete"
,,"Publish"
,"Integration","Create"
,,"Update"
,"Credential","Create"
,,"Update"
,,"Delete"
"Webhooks","Webhook","Create"
,,"Update"
,,"Delete"
"AnalyticsReporting","DashboardSettings","Create"
,,"Update"
,,"Delete"
,"InsightSettings","Create"
,,"Update"
,,"Delete"
,"AnalyticsReportingSettings","Update"
,"ScheduledExports","Create"
,,"Update"
,,"Delete"
,"Exports","Create"
,,"Update"
,,"Delete"
"Limits","ChangeRequest","Open"
,,"Approved"
,,"Rejected"
,,"Rollback"
,,"ImplementingChange"
,,"ChangeImplemented"
,,"ImplementingRollback"
,,"RollbackImplemented"
"EmployeePerformance","ExternalMetricsDefinition","Create"
,,"Update"
,,"Delete"
,"ExternalMetricsData","Write"
"Datatables","Schema","Create"
,,"Update"
,,"Delete"
,"Row","Create"
,,"Update"
,,"Delete"
,"Bulk","Update"
"Messaging","Integration","Create"
,,"Update"
,,"Delete"
,"SupportedContent","Create"
,,"Update"
,,"Delete"
,"ConversationPhoneNumber","Create"
,,"Update"
,,"Delete"
,"ConversationRecipient","Create"
,,"Update"
,,"Delete"
,"ConversationAccount","Create"
,,"Update"
,,"Delete"
,"ConversationDefaultSupportedContent","Create"
,,"Update"
,,"Delete"
,"ConversationThreadingWindow","Update"
"WebDeployments","Deployment","Create"
,,"Update"
,,"Delete"
,,"Activate"
,,"Deactivate"
,"Configuration","Create"
,,"Update"
,,"Delete"
,"ConfigurationVersion","Create"
,,"Delete"
"Supportability","EdgePreferences","Update"
,"EdgeTraceLevel","Update"
,"OrganizationIntegrationsAccess","Update"
,"SupportFile","Upload"
,,"Download"
,,"Delete"
,"Edge","Replace"
,,"UpdateInService"
,,"UpdateOutOfService"
,,"Cycle"
,,"Scale"
,"EdgeLogZip","Download"
,"Pcaps","Download"
,"MediaDiagnosticsTraceFile","Download"
,"EdgePcaps","Download"
,"EdgeLog","Download"
,"OrganizationFeature","Update"
,"OrganizationSettings","IpAllowlistClear"
,,"Update"
,"Product","Add"
,"User","AddPairingRole"
,"Location","Verify"
"Callback","Participant","Reschedule"
,,"Reassign"
,,"Cancel"
"Directory","User","Create"
,,"Update"
,,"Delete"
"SCIM","User","Create"
,,"Update"
,,"Delete"
"NumberPurchasing","NumberOrder","Create"
,,"Update"
,,"Delete""services.name","services.entities.name","services.entities.actions"
"LanguageUnderstanding","Feedback","View"
"ContentManagement","Document","Create"
,,"Update"
,,"Move"
,,"Copy"
,,"View"
,,"Download"
,,"ShareAdd"
,,"ShareRemove"
,,"Fax"
,,"VersionCreate"
,,"TagAdd"
,,"TagRemove"
,,"TagUpdate"
,"Workspace","Create"
,,"Update"
,,"Delete"
,,"MemberAdd"
,,"MemberUpdate"
,,"MemberRemove"
"PeoplePermissions","AccessToken","Create"
,"OAuthClientAuthorization","Authorize"
,,"Deauthorize"
,"AuthOrganization","Update"
,"OAuthClient","Create"
,,"Update"
,,"Delete"
,"AuthUser","Authenticate"
,,"ChangePassword"
,"OrganizationAuthorizationTrust","Create"
,,"Update"
,,"Revoke"
,"OrganizationAuthorizationUserTrust","Create"
,,"Update"
,,"Revoke"
,"Role","Create"
,,"Update"
,,"MemberAdd"
,,"MemberUpdate"
,,"MemberRemove"
,"VoicemailUserPolicy","Update"
"Presence","UserPresence","Create"
,,"Update"
,,"Delete"
"Architect","DependencyTrackingBuild","Delete"
,,"Update"
,"Flow","Activate"
,,"Checkin"
,,"Checkout"
,,"Create"
,,"Deactivate"
,,"Debug"
,,"Delete"
,,"Publish"
,,"Revert"
,,"Save"
,,"Update"
,"Prompt","Create"
,,"Delete"
,,"Update"
,"PromptResource","Create"
,,"Delete"
,,"Transcode"
,,"Update"
,,"Upload"
,"FlowOutcome","Create"
,,"Delete"
,,"Update"
,"FlowMilestone","Create"
,,"Delete"
,,"Update"
"ContactCenter","AgentRoutingInfo","Create"
,,"Update"
,,"Delete"
,"Queue","Create"
,,"Update"
,,"Delete"
,,"MemberAdd"
,,"MemberUpdate"
,,"MemberRemove"
,"WrapupCode","Create"
,,"Update"
,,"Delete"
,"MaxOrgRoutingUtilizationCapacity","Update"
,,"Delete"
,"ConversationAttributes","Update"
,"RoutingUtilizationTag","Create"
,,"Delete"
"Quality","Evaluation","Create"
,,"Read"
,,"Update"
,,"Delete"
,"Calibration","Create"
,,"Read"
,,"Update"
,,"Delete"
,"Survey","Create"
,,"Read"
,,"Update"
,,"Delete"
,"EvaluationForm","Create"
,,"Update"
,,"Delete"
,"SurveyForm","Create"
,,"Update"
,,"Delete"
,"Recording","Read"
,,"Create"
,,"Update"
,,"Delete"
,,"Abandon"
,,"Archive"
,,"Export"
,,"RestoreRequest"
,,"RestoreComplete"
,,"UpdateRetention"
,,"ApplyProtection"
,,"RevokeProtection"
,"ScreenRecording","Read"
,,"Create"
,,"Delete"
,,"Archive"
,,"Export"
,,"RestoreRequest"
,,"RestoreComplete"
,,"UpdateRetention"
,"BulkActions","Execute"
,,"Create"
,"OrphanedRecording","Create"
,,"Read"
,,"Delete"
,"Policy","Create"
,,"Read"
,,"Update"
,,"Delete"
,"RecordingAnnotation","Create"
,,"Read"
,,"Update"
,,"Delete"
,"RecordingSettings","Create"
,,"Update"
"SpeechAndTextAnalytics","Topic","Create"
,,"Update"
,,"Delete"
,,"Publish"
,"Program","Create"
,,"Update"
,,"Delete"
,,"Publish"
,"SentimentFeedback","Create"
,,"Delete"
,,"DeleteAll"
,"TranscriptionSettings","Create"
,,"Update"
,"SpeechTextAnalyticsSettings","Create"
,,"Update"
"PredictiveEngagement","Segment","Create"
,,"Update"
,,"Delete"
,"Outcome","Create"
,,"Update"
,,"Delete"
,"ActionMap","Create"
,,"Update"
,,"Delete"
,"ActionTemplate","Create"
,,"Update"
,,"Delete"
,"ClickstreamSettings","Create"
,,"Update"
,"EventType","Create"
,,"Update"
,,"Delete"
