"userId","routingStatus.startTime","routingStatus.endTime","routingStatus.routingStatus","primaryPresence.startTime","primaryPresence.endTime","primaryPresence.systemPresence","primaryPresence.organizationPresenceId"
,,,,"2022-07-26T07:14:14.464Z","2022-07-26T07:15:30.734Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
,,,,"2022-07-26T07:15:30.734Z","2022-07-26T07:17:05.658Z","OFFLINE","ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5"
,,,,"2022-07-26T07:17:05.658Z","2022-07-26T07:22:29.302Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
,,,,"2022-07-26T07:22:29.302Z","2022-07-26T07:49:40.116Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f"
,,,,"2022-07-26T07:49:40.116Z","2022-07-26T07:49:42.541Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
,,,,"2022-07-26T07:49:42.541Z","2022-07-26T08:49:31.253Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f"
,,,,"2022-07-26T08:49:31.253Z","2022-07-26T08:57:01.846Z","OFFLINE","ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5"
,,,,"2022-07-26T08:57:01.846Z","2022-07-26T09:35:05.288Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
,,,,"2022-07-26T09:35:05.288Z","2022-07-26T11:23:27.239Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f"
,,,,"2022-07-26T11:23:27.239Z","2022-07-26T11:58:03.259Z","OFFLINE","ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5"
,,,,"2022-07-26T11:58:03.259Z","2022-07-26T12:23:14.804Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f"
,,,,"2022-07-26T12:23:14.804Z","2022-07-26T12:48:35.670Z","OFFLINE","ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5"
,,,,"2022-07-26T12:48:35.670Z","2022-07-26T12:48:36.822Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
,,,,"2022-07-26T12:48:36.822Z","2022-07-26T12:52:44.661Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f"
,,,,"2022-07-26T12:52:44.661Z","2022-07-27T01:17:41.377Z","OFFLINE","ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5"
,,,,"2022-07-27T01:17:41.377Z","2022-07-27T01:17:54.784Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
,,,,"2022-07-27T01:17:54.784Z","2022-07-27T01:32:31.584Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f"
,,,,"2022-07-27T01:32:31.584Z","2022-07-27T01:32:32.269Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
