"userDetails.userId","userDetails.routingStatus.startTime","userDetails.routingStatus.routingStatus","totalHits","userDetails.primaryPresence.startTime","userDetails.primaryPresence.endTime","userDetails.primaryPresence.systemPresence","userDetails.primaryPresence.organizationPresenceId","userDetails.routingStatus.endTime"
"6ec549dd-3a90-4f3d-93c3-1f454f3473bb","2022-07-27T03:30:56.196Z","OFF_QUEUE",,,,,,
"8739f1cb-dd89-4ccf-9fc0-ba3d660220a5",,,,"2022-07-26T03:12:17.593Z","2022-07-26T13:04:59.168Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b",
,,,,"2022-07-26T13:04:59.168Z","2022-07-27T01:03:17.131Z","OFFLINE","ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5",
,,,,"2022-07-27T01:03:17.131Z","2022-07-27T01:34:49.011Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b",
,,,,"2022-07-27T01:34:49.011Z","2022-07-27T02:45:50.887Z","OFFLINE","ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5",
,,,,"2022-07-27T02:45:50.887Z","2022-07-27T06:26:20.113Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b",
,,,,"2022-07-27T06:26:20.113Z","2022-07-27T06:41:59.715Z","OFFLINE","ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5",
,,,,"2022-07-27T06:41:59.715Z","2022-07-27T08:01:27.928Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b",
"8f87e4c6-76ca-42ea-b159-4631a5e9805f","2022-07-27T03:30:56.255Z","OFF_QUEUE",,,,,,
"a3c36930-1584-4db9-8acd-b96fe7738a6b","2022-07-27T03:30:55.651Z","OFF_QUEUE",,,,,,
"ad14db22-aeb0-416b-a8be-bfa87313ee7d","2022-07-27T03:30:56.493Z","OFF_QUEUE",,,,,,
"adde2b93-a063-4b2b-85b4-4f25640defd5","2022-07-27T03:30:56.348Z","OFF_QUEUE",,,,,,
"b4bbcff4-8a96-41e7-a097-3614296169b9",,,,"2022-07-15T03:14:46.081Z","2022-07-26T09:18:40.334Z","OFFLINE","ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5",
,,,,"2022-07-26T09:18:40.334Z","2022-07-26T11:33:39.658Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b",
,,,,"2022-07-26T11:33:39.658Z","2022-07-27T01:09:27.239Z","OFFLINE","ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5",
,,,,"2022-07-27T01:09:27.239Z","2022-07-27T04:31:28.379Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b",
,,,,"2022-07-27T04:31:28.379Z","2022-07-27T04:38:18.635Z","OFFLINE","ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5",
,,,,"2022-07-27T04:38:18.635Z","2022-07-27T04:52:28.413Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b",
,,,,"2022-07-27T04:52:28.413Z","2022-07-28T02:17:00.498Z","OFFLINE","ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5",
"b9149a7d-fa40-4d33-a01c-a7361a655438","2022-07-27T03:30:55.773Z","OFF_QUEUE",,,,,,
"bbd813fc-f31d-4535-9e02-31eb5fa90beb","2022-07-27T03:30:56.570Z","OFF_QUEUE",,,,,,
"d1b443ee-46ec-49e6-ab54-8f17e68bdcbf","2022-07-27T03:30:55.921Z","OFF_QUEUE",,,,,,
"da57b20c-4ba7-4bce-b2fa-3ccb777f617b","2022-07-27T03:30:56.725Z","OFF_QUEUE",,,,,,
