"userDetails.userId","userDetails.routingStatus.startTime","userDetails.routingStatus.routingStatus","totalHits","userDetails.primaryPresence.startTime","userDetails.primaryPresence.endTime","userDetails.primaryPresence.systemPresence","userDetails.primaryPresence.organizationPresenceId","userDetails.routingStatus.endTime"
,"2022-07-27T01:32:31.604Z","OFF_QUEUE",,,,,,"2022-07-27T01:32:32.319Z"
,"2022-07-27T01:32:32.319Z","IDLE",,,,,,"2022-07-27T01:32:38.075Z"
,"2022-07-27T01:32:38.075Z","NOT_RESPONDING",,,,,,"2022-07-27T01:32:41.179Z"
,"2022-07-27T01:32:41.179Z","OFF_QUEUE",,,,,,"2022-07-27T01:32:42.131Z"
,"2022-07-27T01:32:42.131Z","IDLE",,,,,,"2022-07-27T01:32:47.351Z"
,"2022-07-27T01:32:47.351Z","INTERACTING",,,,,,"2022-07-27T01:33:01.946Z"
,"2022-07-27T01:33:01.946Z","IDLE",,,,,,"2022-07-27T01:33:04.421Z"
,"2022-07-27T01:33:04.421Z","INTERACTING",,,,,,"2022-07-27T01:33:22.746Z"
,"2022-07-27T01:33:22.746Z","IDLE",,,,,,"2022-07-27T01:33:25.292Z"
,"2022-07-27T01:33:25.292Z","INTERACTING",,,,,,"2022-07-27T01:33:34.061Z"
,"2022-07-27T01:33:34.061Z","IDLE",,,,,,"2022-07-27T01:33:39.011Z"
,"2022-07-27T01:33:39.011Z","INTERACTING",,,,,,"2022-07-27T01:34:05.202Z"
,"2022-07-27T01:34:05.202Z","IDLE",,,,,,"2022-07-27T01:35:02.829Z"
,"2022-07-27T01:35:02.829Z","INTERACTING",,,,,,"2022-07-27T01:39:30.745Z"
,"2022-07-27T01:39:30.745Z","IDLE",,,,,,"2022-07-27T01:39:35.956Z"
,"2022-07-27T01:39:35.956Z","INTERACTING",,,,,,"2022-07-27T01:39:42.915Z"
,"2022-07-27T01:39:42.915Z","IDLE",,,,,,"2022-07-27T01:39:50.097Z"
,"2022-07-27T01:39:50.097Z","INTERACTING",,,,,,"2022-07-27T01:40:54.387Z"
,"2022-07-27T01:40:54.387Z","IDLE",,,,,,"2022-07-27T05:43:57.608Z"
,"2022-07-27T05:43:57.608Z","NOT_RESPONDING",,,,,,"2022-07-27T10:07:41.677Z"
"67cc9353-2ce8-482e-b8fa-8cdaace2b2d1","2022-07-27T03:30:56.792Z","OFF_QUEUE",,,,,,
"6a0f2791-91a4-4b6a-9792-2f19077e2588",,,,"2022-07-22T05:34:34.560Z","2022-07-22T08:16:23.406Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b",
,,,,"2022-07-22T08:16:23.406Z","2022-07-22T08:28:39.560Z","OFFLINE","ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5",
,,,,"2022-07-22T08:28:39.560Z","2022-07-22T09:01:37.717Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b",
,,,,"2022-07-22T09:01:37.717Z",,"OFFLINE","ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5",
"6ad38f4f-097d-4103-b371-b0d6ad4833b6","2022-07-27T03:30:56.437Z","OFF_QUEUE",,,,,,
"6ec549dd-3a90-4f3d-93c3-1f454f3473bb","2022-07-27T03:30:56.196Z","OFF_QUEUE",,,,,,
"8739f1cb-dd89-4ccf-9fc0-ba3d660220a5",,,,"2022-07-22T05:18:08.018Z","2022-07-22T08:22:47.646Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b",
,,,,"2022-07-22T08:22:47.646Z","2022-07-22T08:28:35.863Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f",
,,,,"2022-07-22T08:28:35.863Z","2022-07-22T08:36:07.435Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b",
,,,,"2022-07-22T08:36:07.435Z","2022-07-22T08:49:34.123Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f",
,,,,"2022-07-22T08:49:34.123Z","2022-07-22T08:54:30.920Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b",
,,,,"2022-07-22T08:54:30.920Z","2022-07-22T10:13:37.843Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f",
,,,,"2022-07-22T10:13:37.843Z","2022-07-22T18:47:02.249Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b",
,,,,"2022-07-22T18:47:02.249Z","2022-07-25T01:36:35.448Z","OFFLINE","ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5",
,,,,"2022-07-25T01:36:35.448Z","2022-07-25T02:38:54.949Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b",
,,,,"2022-07-25T02:38:54.949Z","2022-07-25T03:34:50.537Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f",
,,,,"2022-07-25T03:34:50.537Z","2022-07-25T06:39:01.085Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b",
,,,,"2022-07-25T06:39:01.085Z","2022-07-25T06:40:44.410Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f",
